T,# branch,# scenarios,# FW,SDDP value,iter,ub_l,ub_r,gap,time/iter(sec),time(sec),# binary in tree formulation
3,10,100,1,-111.22,5,-112.58,-107.18,3.77%,27,136,
3,10,100,1,-111.22,5,-112.51,-107.56,3.40%,24,124,
3,10,100,1,-111.22,5,-112.59,-107.59,3.38%,25,129,
3,10,100,1,-111.22,5,-112.56,-107.44,3.52%,25,130,
,,,,,,,,,,,
3,10,100,2,-111.22,5,-109.12,-105.13,5.79%,28,142,
3,10,100,2,-111.22,5,-113.61,-108.53,2.48%,30,152,
3,10,100,2,-111.22,5,-113.91,-109.16,1.90%,29,146,
3,10,100,2,-111.22,5,-112.21,-107.61,3.39%,29,147,
,,,,,,,,,,,
3,10,100,5,-111.22,5,-111.96,-107.72,3.25%,37,189,
3,10,100,5,-111.22,5,-111.49,-107.45,3.51%,38,191,
3,10,100,5,-111.22,5,-114.33,-109.21,1.85%,36,182,
3,10,100,5,-111.22,5,-112.59,-108.13,2.87%,37,187,
,,,,,,,,,,,
3,10,100,10,-111.22,5,-112.10,-107.15,3.80%,47,238,
3,10,100,10,-111.22,5,-114.12,-109.36,1.70%,46,234,
3,10,100,10,-111.22,5,-114.92,-109.54,1.54%,46,231,
3,10,100,10,-111.22,5,-113.71,-108.68,2.35%,46,234,
,,,,,,,,,,,
3,15,225,1,-106.47,5,-107.20,-105.04,1.36%,49,245,
3,15,225,1,-106.47,5,-107.75,-105.32,1.09%,47,235,
3,15,225,1,-106.47,5,-107.02,-105.25,1.16%,36,184,
3,15,225,1,-106.47,5,-107.32,-105.20,1.20%,44,221,
,,,,,,,,,,,
3,15,225,2,-106.47,5,-106.98,-104.98,1.42%,41,207,
3,15,225,2,-106.47,5,-106.59,-104.68,1.71%,41,208,
3,15,225,2,-106.47,5,-107.83,-105.43,0.99%,48,241,
3,15,225,2,-106.47,5,-107.14,-105.03,1.37%,43,219,
,,,,,,,,,,,
3,15,225,5,-106.47,5,-107.62,-105.59,0.84%,53,266,
3,15,225,5,-106.47,5,-107.01,-105.08,1.33%,53,268,
3,15,225,5,-106.47,5,-107.28,-105.46,0.96%,54,273,
3,15,225,5,-106.47,5,-107.30,-105.37,1.04%,53,269,
,,,,,,,,,,,
3,15,225,10,-106.47,5,-106.76,-104.89,1.50%,70,353,
3,15,225,10,-106.47,5,-106.94,-104.92,1.47%,65,327,
3,15,225,10,-106.47,5,-106.30,-104.48,1.91%,65,329,
3,15,225,10,-106.47,5,-106.67,-104.77,1.63%,67,336,
,,,,,,,,,,,
3,20,400,1,-106.98,5,-107.68,-105.23,1.66%,60,304,
3,20,400,1,-106.98,5,-107.16,-105.13,1.76%,55,279,
3,20,400,1,-106.98,5,-107.77,-105.50,1.41%,64,321,
3,20,400,1,-106.98,5,-107.54,-105.28,1.61%,60,301,
,,,,,,,,,,,
3,20,400,2,-106.98,5,-107.51,-105.22,1.67%,64,320,
3,20,400,2,-106.98,5,-108.03,-105.61,1.30%,67,338,
3,20,400,2,-106.98,5,-107.72,-105.33,1.57%,71,355,
3,20,400,2,-106.98,5,-107.75,-105.39,1.51%,67,338,
,,,,,,,,,,,
3,20,400,5,-106.98,5,-106.66,-104.45,2.42%,80,400,
3,20,400,5,-106.98,5,-107.04,-104.64,2.23%,78,392,
3,20,400,5,-106.98,5,-107.97,-105.93,0.99%,81,405,
3,20,400,5,-106.98,5,-107.22,-105.01,1.88%,80,399,
,,,,,,,,,,,
3,20,400,10,-106.98,5,-106.40,-104.22,2.65%,109,548,
3,20,400,10,-106.98,5,-107.09,-104.73,2.15%,108,540,
3,20,400,10,-106.98,5,-107.66,-105.58,1.32%,111,556,
3,20,400,10,-106.98,5,-107.05,-104.84,2.04%,109,548,
,,,,,,,,,,,
4,10,1000,1,-108.10,5,-110.18,-105.91,2.07%,76,381,
4,10,1000,1,-108.10,5,-108.88,-105.49,2.47%,71,356,
4,10,1000,1,-108.10,5,-109.50,-105.70,2.27%,69,345,
4,10,1000,1,-108.10,5,-109.52,-105.70,2.27%,72,361,
,,,,,,,,,,,
4,10,1000,2,-108.10,5,-108.60,-106.55,1.45%,69,348,
4,10,1000,2,-108.10,5,-107.59,-105.75,2.22%,69,347,
4,10,1000,2,-108.10,5,-110.93,-107.02,1.01%,80,401,
4,10,1000,2,-108.10,5,-109.04,-106.44,1.56%,73,365,
,,,,,,,,,,,
4,10,1000,5,-108.10,5,-107.30,-105.37,2.59%,90,451,
4,10,1000,5,-108.10,5,-109.55,-107.56,0.51%,91,459,
4,10,1000,5,-108.10,5,-107.83,-105.90,2.08%,88,444,
4,10,1000,5,-108.10,5,-108.23,-106.27,1.73%,90,451,
,,,,,,,,,,,
4,10,1000,10,-108.10,5,-107.01,-105.47,2.50%,135,677,
4,10,1000,10,-108.10,5,-107.74,-105.99,2.00%,123,616,
4,10,1000,10,-108.10,5,-108.69,-106.92,1.10%,127,639,
4,10,1000,10,-108.10,5,-107.81,-106.12,1.87%,128,644,
,,,,,,,,,,,
4,15,3375,1,-106.88,5,-107.59,-104.14,2.63%,123,619,
4,15,3375,1,-106.88,5,-108.70,-105.55,1.26%,134,671,
4,15,3375,1,-106.88,5,-109.79,-105.70,1.12%,122,614,
4,15,3375,1,-106.88,5,-108.69,-105.13,1.67%,126,635,
,,,,,,,,,,,
4,15,3375,2,-106.88,5,-108.46,-104.96,1.83%,153,765,
4,15,3375,2,-106.88,5,-106.98,-103.67,3.10%,135,678,
4,15,3375,2,-106.88,5,-107.79,-104.49,2.29%,145,726,
4,15,3375,2,-106.88,5,-107.74,-104.38,2.41%,144,723,
,,,,,,,,,,,
4,15,3375,5,-106.88,5,-106.66,-103.39,3.38%,168,843,
4,15,3375,5,-106.88,5,-108.82,-105.75,1.07%,173,869,
4,15,3375,5,-106.88,5,-108.12,-104.72,2.06%,184,921,
4,15,3375,5,-106.88,5,-107.87,-104.62,2.17%,175,878,
,,,,,,,,,,,
4,15,3375,10,-106.88,5,-108.68,-104.99,1.80%,232,1164,
4,15,3375,10,-106.88,5,-109.07,-105.14,1.66%,261,1305,
4,15,3375,10,-106.88,5,-106.51,-102.85,3.92%,215,1076,
4,15,3375,10,-106.88,5,-108.09,-104.32,2.46%,236,1182,
,,,,,,,,,,,
4,20,8000,1,-108.11,5,-108.13,-105.71,2.27%,179,898,
4,20,8000,1,-108.11,5,-110.03,-107.26,0.79%,156,781,
4,20,8000,1,-108.11,5,-108.76,-105.54,2.44%,165,826,
4,20,8000,1,-108.11,5,-108.97,-106.17,1.83%,167,835,
,,,,,,,,,,,
4,20,8000,2,-108.11,5,-107.46,-104.91,3.05%,165,826,
4,20,8000,2,-108.11,5,-109.19,-106.62,1.40%,140,704,
4,20,8000,2,-108.11,5,-109.49,-106.87,1.16%,138,692,
4,20,8000,2,-108.11,5,-108.71,-106.13,1.87%,148,741,
,,,,,,,,,,,
4,20,8000,5,-108.11,5,-107.05,-104.44,3.51%,207,1036,
4,20,8000,5,-108.11,5,-107.64,-104.61,3.34%,191,957,
4,20,8000,5,-108.11,5,-108.49,-106.00,1.99%,203,1016,
4,20,8000,5,-108.11,5,-107.72,-105.02,2.95%,200,1003,
,,,,,,,,,,,
4,20,8000,10,-108.11,5,-109.16,-106.89,1.14%,279,1398,
4,20,8000,10,-108.11,5,-107.22,-104.83,3.13%,291,1458,
4,20,8000,10,-108.11,5,-109.13,-106.56,1.45%,276,1383,
4,20,8000,10,-108.11,5,-108.50,-106.09,1.91%,282,1413,
,,,,,,,,,,,
5,10,10000,1,-116.13,5,-117.90,-113.10,2.68%,164,822,
5,10,10000,1,-116.13,5,-117.74,-112.80,2.95%,170,854,
5,10,10000,1,-116.13,5,-117.90,-112.69,3.05%,186,934,
5,10,10000,1,-116.13,5,-117.85,-112.86,2.89%,173,870,
,,,,,,,,,,,
5,10,10000,2,-116.13,5,-118.55,-113.15,2.63%,180,902,
5,10,10000,2,-116.13,5,-114.30,-110.11,5.47%,198,994,
5,10,10000,2,-116.13,5,-117.42,-112.71,3.03%,197,988,
5,10,10000,2,-116.13,5,-116.76,-111.99,3.71%,192,961,
,,,,,,,,,,,
5,10,10000,5,-116.13,5,-120.26,-114.51,1.41%,227,1137,
5,10,10000,5,-116.13,5,-114.88,-110.46,5.13%,234,1173,
5,10,10000,5,-116.13,5,-118.71,-113.29,2.50%,223,1116,
5,10,10000,5,-116.13,5,-117.95,-112.75,3.01%,228,1142,
,,,,,,,,,,,
5,10,10000,10,-116.13,5,-114.92,-110.29,5.29%,290,1452,
5,10,10000,10,-116.13,5,-118.93,-113.82,2.02%,319,1595,
5,10,10000,10,-116.13,5,-118.71,-113.75,2.09%,296,1480,
5,10,10000,10,-116.13,5,-117.52,-112.62,3.13%,302,1509,
,,,,,,,,,,,
5,15,50625,1,-109.64,5,-111.03,-107.32,2.16%,292,1461,
5,15,50625,1,-109.64,5,-110.44,-106.08,3.35%,259,1298,
5,15,50625,1,-109.64,5,-111.38,-107.18,2.29%,286,1434,
5,15,50625,1,-109.64,5,-110.95,-106.86,2.60%,279,1398,
,,,,,,,,,,,
5,15,50625,2,-109.64,5,-109.31,-105.45,3.97%,284,1421,
5,15,50625,2,-109.64,5,-109.74,-106.58,2.87%,291,1455,
5,15,50625,2,-109.64,5,-111.29,-107.82,1.68%,256,1284,
5,15,50625,2,-109.64,5,-110.12,-106.62,2.84%,277,1387,
,,,,,,,,,,,
5,15,50625,5,-109.64,5,-108.67,-105.01,4.40%,308,1544,
5,15,50625,5,-109.64,5,-110.50,-107.26,2.22%,333,1665,
5,15,50625,5,-109.64,5,-109.90,-106.67,2.78%,315,1579,
5,15,50625,5,-109.64,5,-109.69,-106.31,3.13%,319,1596,
,,,,,,,,,,,
5,15,50625,10,-109.64,5,-109.80,-106.24,3.20%,449,2247,
5,15,50625,10,-109.64,5,-108.39,-105.04,4.38%,461,2306,
5,15,50625,10,-109.64,5,-109.42,-105.93,3.50%,471,2355,
5,15,50625,10,-109.64,5,-109.20,-105.74,3.69%,460,2303,
,,,,,,,,,,,
5,20,160000,1,-108.97,5,-111.33,-107.29,1.57%,172,863,
