101,,,,
iteration,LB,UB,UBl,UBr
1,3857.16,7448.51,7037.67,7859.34
2,5286.68,7371.05,6979.07,7763.03
3,5747.69,7096.86,6637.95,7555.76
4,6574.72,6967.17,6522.38,7411.96
5,6649.02,7087.16,6644.14,7530.19
6,6682.55,6205.14,5695.04,6715.24
7,6688.31,6513.42,5998.88,7027.97
8,6695.56,6558.82,6039.69,7077.94
9,6698.88,7140.63,6680.99,7600.26
10,6700.87,7059.58,6625.49,7493.66
11,6701.08,7045.9,6576.4,7515.4
12,6701.08,6671.68,6171.36,7172
13,6701.08,6618.06,6147.55,7088.58
14,6701.08,6683.03,6174.47,7191.6
15,6701.08,6668.26,6115.32,7221.21
16,6701.08,6982.97,6503.54,7462.4
17,6701.08,6610.01,6143.72,7076.29
18,6701.08,6656.03,6137.15,7174.91
19,6701.08,6648.16,6445.99,6850.33
20,6701.08,6688.87,6597.3,6780.45
1,,,,
iteration,LB,UB,UBl,UBr
1,230,6669.82,6176,7163.63
2,318,7013.94,6545.78,7482.09
3,460,6897.62,6412.6,7382.64
4,548,6880.63,6421.77,7339.5
5,636,7462.26,7004.34,7920.17
6,690,7449.68,6976.5,7922.86
7,736.199,6742.64,6260.01,7225.27
8,778,7624.36,7231.41,8017.32
9,825,7707.95,7294.88,8121.02
10,866,7737.13,7336.44,8137.82
11,902.523,6993.71,6507.92,7479.5
12,920,7567.34,7168.96,7965.73
13,954,7096.86,6632.98,7560.74
14,989.773,7411.72,6926.51,7896.92
15,1002.6,7399.64,6959.9,7839.37
16,1008,7695.74,7295.32,8096.17
17,1055,7559.25,7121.97,7996.52
18,1096,7678.42,7233.68,8123.17
19,1143,8444.67,8025.38,8863.96
20,1150,7593.22,7144.73,8041.7
21,1184,7399.46,6909.59,7889.32
22,1196.2,7531.85,7111.66,7952.04
23,1202.72,7273.12,6819.94,7726.3
24,1222.38,7683.12,7264.66,8101.58
25,1232.6,8156.89,7725.12,8588.66
26,1238,8011.49,7593.06,8429.93
27,1272,7727.16,7283.5,8170.82
28,1285,7845.04,7386.73,8303.35
29,1287.54,8227.26,7868.55,8585.97
30,1291.54,7109.51,6663.06,7555.95
31,1320.6,7779.32,7399.97,8158.68
32,1321.86,7424.92,7010.99,7838.85
33,1326,7205.55,6770.23,7640.86
34,1373,8097.91,7646.02,8549.8
35,1380,7690.13,7322.54,8057.71
36,1395.01,7833.63,7375.45,8291.81
37,1414,7516.38,7088.13,7944.64
38,1426.7,7668.36,7208.99,8127.72
39,1443.24,8293.1,7924.43,8661.77
40,1461,8362.11,7992.42,8731.81
41,1462.6,7810.03,7363.59,8256.47
42,1464.49,8264.43,7854.24,8674.63
43,1468,7628.97,7181.74,8076.2
44,1502,7394.65,6959.01,7830.28
45,1503.87,7935.77,7600.79,8270.75
46,1509.34,8094.45,7765.35,8423.55
47,1515,8083.95,7666.42,8501.48
48,1528.05,8062.2,7702.85,8421.55
49,1550.6,8014.39,7600.18,8428.61
50,1556,7686.88,7610.84,7762.91
10,,,,
iteration,LB,UB,UBl,UBr
1,2950.21,7355.85,6912.87,7798.82
2,4256,6896.28,6457.22,7335.33
3,5587.93,7554.23,7106.83,8001.62
4,6242.66,7172.56,6708.2,7636.93
5,6285.42,7375.37,6891.97,7858.78
6,6472.59,7486.65,7070.47,7902.83
7,6497.11,6690.19,6199.66,7180.73
8,6570.85,7951.17,7546.85,8355.49
9,6604.92,7349.45,6890.68,7808.23
10,6643.37,6896.71,6437.62,7355.79
11,6658.63,6847.62,6357.72,7337.52
12,6660.99,6495.99,5992.64,6999.33
13,6670.9,6782.86,6274.03,7291.7
14,6674.29,6733.55,6215.93,7251.17
15,6678.73,6916.28,6431.94,7400.62
16,6681.67,6960.92,6491.59,7430.25
17,6686.62,6426.03,5890.81,6961.26
18,6692.1,6294.98,5781.6,6808.36
19,6696.81,6654.28,6119.56,7189
20,6699.93,6574.86,6045.25,7104.47
21,6700.63,6659.78,6187.4,7132.15
22,6700.83,6835.71,6341.39,7330.03
23,6701.12,6364.51,5851.12,6877.89
24,6701.12,6386.82,5877.72,6895.92
25,6701.12,6692.99,6196.82,7189.16
26,6701.12,6237.84,5708.86,6766.82
27,6701.12,6452.82,5895.34,7010.29
28,6701.12,6605.62,6140.87,7070.38
29,6701.12,6937.99,6457.62,7418.35
30,6701.12,6570.49,6118.85,7022.13
31,6701.12,6714.06,6508.56,6919.56
32,6701.12,6796.06,6591.37,7000.74
33,6701.12,6727.53,6527.71,6927.36
34,6701.12,6754.66,6555.54,6953.78
35,6701.12,6697.66,6490.7,6904.63
36,6701.12,6588.65,6373.56,6803.74
37,6701.12,6821.41,6621.1,7021.71
38,6701.12,6704.2,6501.01,6907.39
39,6701.12,6734.65,6534.12,6935.19
40,6701.12,6582.21,6374.06,6790.36
41,6701.12,6723.77,6528.41,6919.13
42,6701.12,6810.8,6620.07,7001.53
43,6701.12,6633.5,6433.09,6833.92
44,6701.12,6597.53,6385.66,6809.41
45,6701.12,6660.42,6457.39,6863.45
46,6701.12,6795.58,6601.68,6989.48
47,6701.12,6793.35,6590.03,6996.66
48,6701.12,6720.34,6522.7,6917.98
49,6701.12,6783.19,6590.96,6975.42
50,6701.12,6670.86,6580.24,6761.481001
Benders cut: 1,,,,
Improved Benders cut: 0,,,,
Lagrangian cut: 0,,,,
Integer Optimality cut: 1,,,,
iteration,LB,UB,UBl,UBr
1,3459.29,6483.84,5977.32,6990.36
2,6182.67,7003.01,6542.79,7463.22
3,6269.07,7318.95,6910.66,7727.25
4,6329.69,7393.65,6967.81,7819.49
5,6351.39,6949.96,6488.27,7411.64
6,6361.49,6928.47,6483.73,7373.21
7,6364.31,7030.49,6540.84,7520.15
8,6366.49,7166.27,6678.17,7654.37
9,6372.55,7021.53,6574.76,7468.29
10,6383.12,7212.85,6740.29,7685.42
11,6393.64,7052.02,6576.24,7527.79
12,6395.07,7052.93,6609.48,7496.38
13,6402.18,6605.35,6093.87,7116.84
14,6402.11,6876.31,6347.82,7404.8
15,6406.86,6686.46,6149.15,7223.78
16,6415.76,6382.44,5860.56,6904.32
17,6416.25,6706.56,6200.25,7212.86
18,6420.48,6645.05,6151.52,7138.57
19,6422.23,6691.51,6204.1,7178.92
20,6423.94,7303.37,6831.71,7775.03
21,6424.05,6705.02,6224.21,7185.82
22,6426.21,7281.21,6828.56,7733.86
23,6428.62,6635.36,6094.59,7176.14
24,6429.51,6797.2,6284.57,7309.84
25,6438.56,7044.58,6566.1,7523.07
26,6439.76,6980.29,6474.06,7486.53
27,6442.27,7237.04,6767.88,7706.19
28,6447.95,7057.73,6559.19,7556.28
29,6454.58,6314.29,5763.58,6865.01
30,6456.5,6879.53,6385.64,7373.43
31,6457.51,6827.89,6324.76,7331.01
32,6459.52,7219.49,6767.69,7671.3
33,6460.26,6872.41,6364.58,7380.25
34,6462.6,6818.58,6325.28,7311.89
35,6465.48,6916.68,6395.48,7437.88
36,6473.89,6998.6,6499.21,7498
37,6477.48,7088.3,6624.16,7552.44
38,6481.05,7201.96,6758.1,7645.83
