Horizon,SampleSize,lb,ub,ub_l,ub_r
5,2,909.103,2348.45,2327.27,2369.63
5,2,2361.75,2896.29,2129.21,3663.37
5,2,2364.24,2574.93,2172.07,2977.8
5,2,2365.82,2414.55,2268.01,2561.09
5,2,2379.36,1934.01,1541.87,2326.16
5,2,2379.36,2803.47,1945.94,3660.99
5,2,2391.32,2240.36,2082.95,2397.78
5,2,2396.4,2617.73,1152.71,4082.76
5,2,2409.07,2364.21,2129.16,2599.26
5,2,2413.43,3262.41,2402.02,4122.81
5,2,2419.93,2934.56,1984.29,3884.82
5,2,2425.94,2512.89,2411.15,2614.62
5,2,2431.14,2195.78,1737.39,2654.18
5,2,2431.44,2236.73,1833.15,2640.32
5,2,2451.72,3380.17,3251,3509.35
5,2,2458.38,2956.05,2128.45,3783.64
5,2,2463.51,2220.36,2199.7,2241.02
5,2,2464.02,2963.48,2064.96,3862
5,2,2473.65,2581.38,2492.59,2670.18
5,2,2491.41,2989.04,2151.35,3826.74
5,2,2498.15,3159.59,1950.86,4368.31
5,2,2498.3,3440.08,1831.33,5048.83
5,2,2501.46,2954.32,2931.16,2977.48
5,2,2504.29,2520.68,2318.81,2722.55
5,2,2512.28,2990.88,2060.03,3921.74
5,2,2519.53,2925.61,2027.94,3823.28
5,2,2520.25,2446.78,2431.24,2462.32
5,2,2521.07,2989.39,2136.69,3842.1
5,2,2522.7,3139.84,2352.29,3927.4
5,2,2528.74,3491.71,2729.74,4253.68
5,2,2534.33,3355.9,3245.09,3466.72
5,2,2535.89,2906.9,1855.31,3958.49
5,2,2536.21,3771.62,2670.2,4873.03
5,2,2536.38,3430.79,3351.39,3510.19
5,2,2537.07,3399.08,3308.57,3489.59
5,2,2541.88,2446.36,2202.01,2690.71
5,2,2542.64,2391.72,2367.02,2416.42
5,2,2559.83,2905.83,1957.88,3853.78
5,2,2561.68,2536.78,2517.9,2555.66
5,2,2563.28,2526.25,2474.58,2577.92
5,2,2566.19,3100.84,2886.46,3315.22
5,2,2571.75,2215.86,1652.63,2779.08
5,2,2572.45,2455.45,2399.29,2511.6
5,2,2585.89,3066.01,2438.45,3693.57
5,2,2589.08,2362.49,2316.44,2408.54
5,2,2589.17,3000.93,2039.18,3962.68
5,2,2589.34,2350.03,2165.48,2534.59
5,2,2590.5,2511.72,2303.91,2719.54
5,2,2591.4,2260.3,2016.64,2503.95
5,2,2595.07,2327,2075.93,2578.08
5,2,2598.17,4041.65,3291.6,4791.71
5,2,2600.28,2827.53,1884.85,3770.2
5,2,2602.61,3295.78,3188.37,3403.2
5,2,2602.93,2824.2,1786.41,3861.99
5,2,2604.16,2413.05,2354.13,2471.98
5,2,2604.16,3340.95,3318.35,3363.55
5,2,2604.16,2375.28,2352.4,2398.16
5,2,2604.16,2688.48,1513.54,3863.42
5,2,2604.16,2294.24,2065.35,2523.13
5,2,2604.16,2542.06,2441.94,2642.18
5,3,1302.91,2309.34,2135.54,2483.14
5,3,2375.79,2602.13,1795.03,3409.23
5,3,2376.22,2354.66,2172.74,2536.58
5,3,2376.28,2646.92,1976.97,3316.87
5,3,2376.28,3016.39,2395.82,3636.96
5,3,2393.5,2637.37,1905.93,3368.82
5,3,2399.15,2403.6,2213.15,2594.04
5,3,2403.15,3001.28,2367.49,3635.06
5,3,2413.67,3087.54,2425.63,3749.45
5,3,2416.76,3032.49,2249.2,3815.79
5,3,2428.22,2373.88,2259.56,2488.19
5,3,2437.87,3526.3,2544.61,4507.99
5,3,2440.32,2818.52,2225.18,3411.86
5,3,2457.21,2297.33,1838.87,2755.79
5,3,2459.22,2388.8,1981.52,2796.08
5,3,2464.83,3332.69,2808.86,3856.51
5,3,2467.35,3204.98,2434.57,3975.4
5,3,2467.69,2596.15,2578.11,2614.19
5,3,2468.96,2738.88,1983.04,3494.72
5,3,2470.18,3069.87,2473.7,3666.04
5,3,2482.61,2490.51,2348.93,2632.09
5,3,2486.96,3042.97,2099.32,3986.62
5,3,2501.06,2918.66,2468.04,3369.27
5,3,2510.61,3652.04,2444.17,4859.92
5,3,2513.35,3008.77,2253.44,3764.11
5,3,2516.22,2765.59,2156.37,3374.81
5,3,2517.64,2579.54,1653.07,3506
5,3,2523.04,2778.47,2186.5,3370.45
5,3,2526.75,2805.08,1768.02,3842.15
5,3,2532.01,2425.77,2339.87,2511.67
5,3,2537.17,3623.05,3021.43,4224.67
5,3,2539.57,2852.65,2164.08,3541.21
5,3,2545.82,2432.43,2327.87,2536.98
5,3,2549.52,2805.16,2235.05,3375.26
5,3,2550.53,2628.8,1769.61,3487.99
5,3,2556.91,3047.9,2280.21,3815.59
5,3,2563.42,2739.8,2090.68,3388.92
5,3,2565.98,2533.32,1602.79,3463.84
5,3,2574.06,3777.57,3145.46,4409.68
5,3,2574.45,2702.81,2084.86,3320.76
5,3,2580.82,2962.54,2481.84,3443.24
5,3,2581.02,3530.04,3457.22,3602.86
5,3,2589.45,2830.13,2129,3531.26
5,3,2592.71,3021.73,2272.3,3771.17
5,3,2594.77,2244.48,1838,2650.97
5,3,2594.97,2677.35,1971.09,3383.61
5,3,2599.43,2537.39,1703.89,3370.89
5,3,2603.13,3102.28,2419.62,3784.95
5,3,2604.16,3075.34,2426.44,3724.25
5,3,2604.16,2510.11,1604.86,3415.36
5,3,2604.16,2368.67,2338.24,2399.1
5,3,2604.16,2188.9,1806.81,2570.98
5,3,2604.16,2609.11,1885.89,3332.33
5,3,2604.16,2584.88,2474.49,2695.26
