SampleSize,lb,ub,ub_l,ub_r
2,744.993,3700.72,2855.59,4545.84
2,1957.57,3721.87,2947.92,4495.82
2,2473.92,3235.95,3156.86,3315.04
2,3317.47,3659.43,2846.49,4472.36
2,3340.85,4114.82,4079.1,4150.53
2,3379.34,4104.08,4052.84,4155.32
2,3387.91,4106.93,3991.97,4221.9
2,3388.55,3889.53,3342.2,4436.85
2,3390.58,3627.95,2828.2,4427.7
2,3391.51,3442.32,2980.64,3904
2,3391.51,3434.17,2998.33,3870.01
2,3405.98,3683.52,2813.36,4553.67
2,3407.26,3889.1,3451.21,4326.98
2,3407.47,3845.63,3492.66,4198.59
2,3408.55,3489.13,3071.05,3907.2
2,3408.76,4443.87,4415.59,4472.16
2,3414.83,3265.38,3178.82,3351.93
2,3415.19,3602.43,3505.24,3699.63
2,3417.28,4182.89,4154.85,4210.93
2,3422.1,3327.88,3230.64,3425.13
2,3422.93,4584.72,4189.22,4980.23
2,3442.17,3672.37,2763.74,4580.99
2,3446.75,3695.47,2866.48,4524.45
2,3454.95,3926.66,3429.19,4424.13
2,3460.93,3692.99,2728.85,4657.14
2,3461.42,4111.84,4085.27,4138.4
2,3470.89,3933.67,3435.5,4431.83
2,3472.06,3709.77,2921.87,4497.66
2,3472.56,3324.65,3243.07,3406.22
2,3477.18,3656.06,2788.56,4523.57
2,3477.18,3304.83,3239.89,3369.78
2,3477.33,3801.87,3512.32,4091.41
2,3478.96,4451.22,4296.3,4606.14
2,3479.81,3671.29,2699.35,4643.23
2,3480.26,4139.54,4081.06,4198.02
2,3482.57,3451.73,3400.22,3503.24
2,3483.17,4190.32,4151.41,4229.22
2,3486.29,4183.84,4147.14,4220.54
2,3487.27,4092.07,3809.88,4374.27
2,3488.08,3155.09,3093.91,3216.26
2,3489.5,3220.52,3173.63,3267.4
2,3489.59,4193.03,4187.12,4198.95
2,3497.6,3732.76,2920.82,4544.7
2,3497.95,4177.94,4114.79,4241.09
2,3499.41,3273.78,3273.26,3274.3
2,3500.74,3365.76,3163.68,3567.83
2,3501,4255.92,3345.38,5166.47
2,3501.08,4029.18,3654.14,4404.22
2,3501.2,3216.27,3194.2,3238.33
2,3507.81,3743.59,2958.76,4528.43
2,3509.14,4277.89,4176.1,4379.69
2,3511,3840.91,2614.32,5067.5
2,3512.18,4111.97,3557.96,4665.98
2,3514.25,3785.59,3768.01,3803.18
2,3514.36,3799.59,2937.15,4662.02
2,3516.35,4184.66,3398.69,4970.63
2,3516.49,3583.15,3087.22,4079.09
2,3518.57,4000.53,3615.67,4385.39
2,3519.08,3533.98,3068.12,3999.83
2,3522.87,3354.92,3198.27,3511.57
