Date,AAPL,ABBV,ABT,ACN,AIG,ALL,AMGN,AMZN,APA,APC,AXP,BA,BAC,BAX,BIIB,BK,BLK,BMY,C,CAT,CL,CMCSA,COF,COP,COST,CSCO,CVS,CVX,DD,DIS,DOW,DVN,EBAY,EMC,EMR,EXC,F,FB,FCX,FDX,FOXA,GD,GE,GILD,GM,GOOG,GS,HAL,HD,HON,IBM,INTC,JNJ,JPM,KO,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,MMM,MO,MON,MRK,MS,MSFT,NKE,NOV,NSC,ORCL,OXY,PEP,PFE,PG,PM,QCOM,RTN,SBUX,SLB,SO,SPG,T,TGT,TWX,TXN,UNH,UNP,UPS,USB,UTX,V,VZ,WBA,WFC,WMT,XOM
1/2/2014,75.68,48.25,36.39,77.42,49.57,51.58,110.59,397.97,82.41,76.56,86.89,129.05,15.79,35.75,280.33,33.21,297.92,49.68,52.01,83.34,61.19,49.73,74.15,63.50,111.27,20.68,68.13,114.67,57.00,74.40,41.05,59.05,22.70,24.13,64.43,24.94,13.90,54.71,35.22,138.26,35.03,90.41,25.67,74.32,37.96,556.00,172.32,48.58,78.70,86.75,173.63,24.06,86.02,55.18,38.21,47.50,137.29,47.72,82.18,90.09,33.72,55.39,49.92,130.46,34.71,111.68,46.47,30.05,35.21,38.24,66.82,85.75,36.72,83.88,77.56,28.19,74.95,78.20,69.59,84.55,37.41,84.63,36.60,133.25,30.94,59.02,63.58,40.58,72.19,80.17,97.75,38.11,107.53,54.46,44.18,54.60,42.32,74.90,92.94
1/3/2014,74.02,48.54,36.78,77.68,49.77,51.37,109.32,396.44,82.46,76.32,87.18,129.95,16.10,35.81,277.40,33.59,299.23,50.23,53.14,83.29,61.07,49.36,74.23,63.66,110.78,20.67,68.28,114.86,57.07,74.24,40.87,58.93,22.42,24.13,64.50,24.43,13.97,54.56,34.93,138.54,34.60,90.41,25.66,73.44,36.68,551.95,173.55,48.70,78.58,86.94,174.67,24.05,86.80,55.61,38.02,47.84,138.22,47.24,81.85,90.21,33.66,56.45,50.50,130.76,34.55,111.72,46.70,30.51,34.97,38.14,66.59,85.81,36.62,83.58,77.69,28.25,74.86,77.76,69.18,84.59,37.30,84.18,36.41,134.88,30.80,59.31,63.52,40.76,72.70,80.05,97.53,38.27,107.92,54.49,43.66,54.79,42.62,74.65,92.72
1/6/2014,74.42,46.77,37.26,76.86,49.38,51.17,108.38,393.63,83.21,76.34,87.14,130.69,16.34,35.87,274.97,33.58,299.13,50.03,53.54,82.20,61.03,49.31,73.51,63.93,109.94,20.69,67.08,114.55,56.33,73.96,40.79,58.17,21.79,24.03,64.01,24.59,14.03,57.20,34.65,137.22,34.21,90.14,25.45,72.38,37.45,558.10,174.74,48.88,77.82,86.85,174.07,23.75,87.25,55.93,37.84,48.25,137.49,46.58,81.44,89.57,33.45,57.31,50.29,129.98,34.14,111.08,46.71,30.62,34.24,37.85,67.22,84.52,36.47,83.83,77.73,28.27,75.04,77.21,69.00,84.91,36.92,83.87,36.34,135.79,30.94,58.90,63.05,40.42,71.87,79.24,96.26,38.77,107.81,54.17,43.90,55.09,42.70,74.23,92.86
1/7/2014,73.89,46.86,36.98,77.80,50.05,51.39,111.20,398.03,84.74,77.81,86.81,132.68,16.18,36.06,273.52,33.19,301.89,49.96,53.91,82.47,61.09,51.06,74.18,64.03,109.43,20.98,67.42,115.52,55.77,74.47,40.34,59.36,22.25,24.69,64.06,24.72,13.85,57.92,34.31,139.12,34.38,90.90,25.48,71.92,37.26,568.86,173.69,48.76,78.20,87.21,177.54,23.87,89.11,55.29,37.95,47.93,139.68,46.69,82.58,90.06,33.72,57.91,50.09,130.00,34.14,108.73,47.06,30.52,34.50,37.88,67.49,85.03,36.84,85.40,78.86,28.45,75.77,76.99,69.52,84.47,37.43,83.38,36.67,135.69,30.94,58.76,62.44,40.21,74.06,79.94,96.58,39.10,108.50,54.58,44.45,55.45,42.68,74.46,94.17
1/8/2014,74.36,46.74,37.31,78.40,50.64,51.56,110.67,401.92,83.53,77.03,87.08,132.97,16.26,36.18,290.01,33.30,301.79,50.78,54.54,82.66,60.46,50.98,74.72,63.41,107.72,20.96,67.52,113.88,56.48,73.38,40.39,59.20,22.04,24.66,63.73,24.66,13.99,58.23,33.88,138.85,33.81,90.39,25.40,72.59,37.46,570.04,173.83,48.08,78.62,86.86,175.91,23.72,88.98,55.81,37.53,47.85,139.58,46.86,82.55,89.16,33.73,58.87,50.86,129.04,34.00,111.07,46.75,30.56,33.88,37.68,66.10,84.44,36.72,84.72,78.64,28.64,74.67,75.70,69.93,84.73,37.82,82.88,36.34,135.23,30.71,58.56,61.76,40.76,73.20,80.08,96.50,39.25,108.64,54.75,44.20,57.24,43.17,73.87,93.86
1/9/2014,73.41,47.54,37.38,79.16,50.93,51.85,113.55,401.01,82.99,77.07,86.56,134.21,16.51,36.28,289.75,33.34,301.05,52.31,54.93,83.19,61.87,51.11,74.72,63.20,111.93,20.77,67.67,113.88,57.21,73.06,39.86,58.69,21.91,24.48,63.47,24.81,14.26,57.22,33.42,139.98,32.93,90.87,25.41,73.42,37.53,564.55,172.82,48.19,78.27,86.89,175.36,23.61,89.52,55.71,37.33,48.39,139.79,47.05,83.22,89.20,34.25,57.44,51.20,128.87,34.11,107.85,46.50,30.55,33.67,37.68,65.76,85.75,36.65,84.76,78.27,28.63,74.84,75.74,70.15,85.72,37.62,82.40,36.54,135.10,30.08,59.17,61.32,40.55,73.65,81.21,96.61,39.49,108.69,54.68,43.29,58.95,43.39,74.12,92.95
1/10/2014,72.92,47.24,37.66,79.40,51.04,52.10,112.69,397.66,83.10,77.80,86.24,133.99,16.45,36.18,299.31,32.89,299.96,53.40,54.45,83.93,61.93,51.75,74.89,62.67,111.31,20.89,67.27,111.77,56.85,73.54,39.97,58.44,21.95,24.47,63.73,24.94,14.47,57.94,33.85,141.09,32.89,90.75,25.17,73.99,37.10,564.52,173.78,49.07,78.69,86.59,175.25,23.81,89.53,55.45,37.71,48.62,140.47,47.95,82.35,89.52,34.68,58.01,50.77,128.62,34.12,108.98,46.84,30.31,34.15,37.60,66.00,86.01,37.10,83.88,78.88,28.40,74.72,75.07,70.11,86.35,37.65,84.01,37.23,136.41,30.15,58.49,61.23,40.59,72.31,81.74,96.99,39.18,108.81,54.49,43.52,58.20,43.19,74.07,93.66
1/13/2014,73.30,46.62,37.43,77.36,50.30,51.50,111.17,390.98,81.26,76.37,84.72,132.86,16.11,36.22,283.67,32.19,291.89,52.68,53.45,83.36,61.56,50.41,73.30,61.64,108.40,20.86,66.34,110.15,56.06,71.47,39.20,57.14,22.11,24.30,63.27,24.76,14.51,55.91,33.64,138.97,31.80,90.66,24.96,72.28,36.69,560.93,171.34,48.16,77.69,85.35,172.35,23.79,89.30,54.70,37.14,48.75,141.85,46.96,79.91,88.61,34.10,57.33,49.71,127.20,33.97,107.38,49.88,29.89,33.15,36.75,64.89,84.70,36.74,81.81,77.81,28.26,74.45,74.96,69.50,85.65,36.41,83.34,37.13,135.95,29.87,57.45,60.56,39.78,71.58,80.62,94.83,38.96,107.82,53.94,42.86,58.04,42.83,73.55,91.82
1/14/2014,74.76,47.34,37.87,78.21,50.59,52.01,112.43,397.54,82.61,78.78,84.85,132.20,16.45,36.00,297.47,32.49,295.75,52.92,53.68,83.98,61.71,51.04,74.25,62.17,109.78,21.07,66.28,110.44,56.86,72.62,39.91,57.72,22.29,24.88,64.35,24.68,14.77,57.74,34.10,141.16,31.75,91.57,25.18,74.11,37.09,574.13,172.04,48.96,77.73,85.85,174.00,24.73,89.51,54.74,37.29,49.10,142.32,47.20,81.06,88.98,34.29,57.49,50.30,129.78,33.87,108.52,49.77,30.11,33.90,36.74,65.56,85.23,37.19,82.50,77.81,28.69,75.25,74.96,69.66,86.80,36.58,84.68,36.97,136.88,30.03,57.64,60.43,40.81,71.65,80.99,95.49,39.06,107.66,54.86,42.91,57.85,42.86,74.00,92.35
1/15/2014,76.26,46.88,37.83,80.37,50.93,51.91,113.18,395.87,81.40,79.64,85.95,132.78,16.82,36.08,296.72,32.82,297.88,51.80,54.72,85.69,61.64,52.26,73.94,61.95,109.78,21.42,66.09,110.08,57.02,72.46,40.28,57.17,22.64,25.41,64.88,24.57,15.04,57.60,34.56,141.01,32.06,91.75,25.53,74.34,36.50,573.74,174.13,49.19,77.79,86.35,175.70,24.88,89.59,56.40,37.36,50.01,144.28,46.61,81.22,89.20,34.58,57.41,50.98,130.75,33.79,108.92,49.32,31.20,34.83,36.87,65.27,85.61,37.39,81.74,78.31,28.86,75.18,75.53,70.72,86.82,36.93,84.70,36.95,137.71,30.31,57.50,60.26,41.00,72.45,81.63,95.60,39.64,109.04,55.13,43.99,57.36,43.62,73.71,92.04
