CASH,AAPL,ABBV,ABT,ACN,AIG,ALL,AMGN,AMZN,APA,APC,AXP,BA,BAC,BAX,BIIB,BK,BLK,BMY,C,CAT,CL,CMCSA,COF,COP,COST,CSCO,CVS,CVX,DD,DIS,DOW,DVN,EBAY,EMC,EMR,EXC,F,FB,FCX,FDX,FOXA,GD,GE,GILD,GM,GOOG,GS,HAL,HD,HON,IBM,INTC,JNJ,JPM,KO,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,MMM,MO,MON,MRK,MS,MSFT,NKE,NOV,NSC,ORCL,OXY,PEP,PFE,PG,PM,QCOM,RTN,SBUX,SLB,SO,SPG,T,TGT,TWX,TXN,UNH,UNP,UPS,USB,UTX,V,VZ,WBA,WFC,WMT,XOM
1.01,1.0021,0.9791,1.0398,1.0369,1.0155,0.9932,1.0279,0.9945,1.0049,1.0351,0.9839,1.0259,1.0608,1.0126,1.0488,0.9813,1.0159,1.0485,1.0063,1.0305,1.0105,1.0406,0.9895,0.972,0.9809,1.0358,0.9677,0.9572,1.0044,0.973,0.9822,0.9707,0.9965,1.0564,1.0095,1.0088,1.0842,1.0453,0.9892,1.0146,0.9112,1.0128,0.9891,1.0358,0.9523,1.0387,0.9903,1.0177,0.9907,0.997,1.0174,1.0291,1.0398,1.0134,0.9764,1.0901,1.0508,0.9744,0.9909,0.9963,1.0255,1.0327,1.005,1.0002,0.9842,0.9725,1.0609,1.0313,0.9929,0.9561,0.9765,0.9612,1.015,0.9778,1.0093,1.0234,1.0003,0.9826,1.0191,1.0214,0.9757,0.9976,1.0137,1.0349,0.9845,0.9624,0.945,1.0064,0.9756,1.0051,0.9726,1.0391,1.0153,1.0033,1.0011,1.0577,1.0305,0.9728,0.9918
1.01,0.9995,0.9648,1.0253,1.0372,0.9994,0.992,1.0409,1.008,0.988,1.0223,1.0163,1.0206,1.036,1.0092,1.0724,0.9354,1.0081,1.0287,0.9787,1.0247,1.0082,1.0484,0.936,0.965,0.9914,1.0343,0.9634,0.9593,1.0037,0.9721,0.9861,0.9669,0.9987,1.0547,0.9963,1.0217,1.0651,1.0319,0.978,1.0032,0.9104,1.0136,0.9673,1.055,0.9755,1.0412,0.9895,1.0105,0.9891,0.9937,1.0185,1.0025,1.0349,0.9906,0.9708,1.0794,1.046,0.9763,0.9864,0.9834,1.0143,1.0202,0.9842,0.9917,0.9815,0.9758,1.0445,1.06,0.9857,0.9405,0.9775,0.9739,1.0156,0.9685,0.9995,1.0184,0.9929,0.9743,1.0253,1.0141,0.9735,1.0211,1.017,1.0179,0.9815,0.9487,0.9378,1.0037,0.9656,1.0059,0.9691,1.0348,1.0116,1.0499,1.0094,1.0411,1.0232,0.9688,0.9964
1.01,1.0095,1.0002,1.0048,1.0545,1.0012,0.9918,1.0508,1.0341,0.9811,1.0364,1.0125,1.0236,1.0208,1.002,1.1292,0.9467,1.015,1.0372,0.9636,1.0288,1.0095,1.0448,0.948,0.9715,0.9874,1.0372,0.9897,0.9705,1.0122,0.9786,1.0537,0.9905,1.0459,1.0591,1.0102,1.0366,1.0535,1.0229,0.9608,1.0247,0.9173,1.0148,0.9646,1.1138,0.949,1.0415,0.9656,0.9894,0.992,1.0018,1.013,1.0051,1.0185,0.9861,0.9913,1.0788,1.0535,0.9946,0.9914,0.992,0.9976,1.0024,0.9829,0.9954,1.0023,0.9849,1.042,1.032,1.0009,0.9524,0.9705,0.9857,1.0173,0.9592,1.0077,1.0223,0.9943,0.989,1.038,1.0266,0.967,1.0348,1.0311,1.0189,0.9732,0.9389,0.947,1.0215,0.9854,1.0179,0.9688,1.0245,1.0196,1.055,0.9904,1.028,1.0237,0.9698,0.9883
1.01,1.0212,0.9797,0.9854,1.0476,0.9822,0.9825,1.0682,1.0164,0.9639,1.0486,1.0223,1.0274,1.0396,0.9994,1.1353,0.9672,1.0219,1.0428,0.9579,1.0146,1.0023,1.0172,0.94,0.9716,0.9817,1.0234,0.9969,0.963,1.0111,0.9864,1.0597,0.9826,1.0292,1.0203,1.0009,1.0445,1.0758,0.9929,0.9499,1.0118,0.9171,1.0523,0.9525,1.1292,0.9651,1.023,0.9741,1.0068,0.9841,1.0032,0.9607,0.9891,1.0002,0.9875,0.9879,1.0862,1.0541,0.9908,0.995,0.9845,0.9896,0.9884,0.9834,0.9915,1.0059,0.9823,1.0246,1.0246,0.987,0.9485,0.972,1.0265,1.0035,0.9519,0.9925,1.0172,0.9805,0.9942,1.0347,1.0424,0.9532,1.0423,1.0205,1.0167,0.9664,0.9375,0.9742,1.0448,0.9594,1.0113,0.9697,1.0125,1.023,1.0519,0.9705,1.0243,1.0279,0.9605,0.9685
1.01,1.0234,0.9782,0.9601,1.0216,0.9498,0.9647,1.0666,0.9949,0.967,1.0486,0.9974,1.0035,1.0172,0.9856,1.086,0.9556,0.9959,1.0098,0.9254,0.9992,1.0038,1.0063,0.919,0.9737,0.989,1.0119,0.9853,0.9602,0.9782,0.9943,1.0361,0.9806,1.049,1.0276,0.9826,1.0539,1.0579,0.9725,0.9383,0.9991,0.9228,1.0783,0.9492,1.1183,0.9506,1.0165,0.9569,1.0125,0.9793,0.993,0.9721,0.9882,0.9849,0.9591,0.9824,1.0792,1.0134,0.9955,0.9843,0.999,0.9893,0.965,0.9491,0.986,1.0065,0.9444,1.0364,0.9974,1.0086,0.9435,0.9738,1.0417,1.0112,0.9433,0.9902,1.0021,0.9825,1.0033,1.0297,1.024,0.9405,1.0376,1.0256,1.0115,0.9873,0.9355,0.9683,1.0186,0.968,1.0431,0.9602,0.9911,1.0104,1.0272,0.9869,0.9829,1.0093,0.9632,0.9626
1.01,1.0178,0.9405,0.9366,0.9787,0.9185,0.9404,1.0033,0.9666,0.9596,1.0253,0.9783,0.9614,0.977,0.9633,1.0478,0.9319,0.9589,0.9256,0.8937,0.9668,0.9646,0.9908,0.9066,0.9584,0.9461,1.0048,0.9712,0.9432,0.9379,0.971,1.0191,0.9792,1.0443,1.0065,0.956,1.0459,1,0.9516,0.9258,0.9511,0.9335,1.0384,0.9166,1.0851,0.9097,0.9943,0.945,0.9799,0.9705,0.9779,0.9587,0.9801,0.9565,0.9375,0.9775,1.0471,0.9935,0.9849,0.9307,0.9892,0.9515,0.9629,0.9076,0.9544,1.0015,0.9647,1.0497,0.965,1.0359,0.9294,0.9516,0.9813,0.9855,0.9279,0.9829,0.9728,0.992,0.9783,1.0023,0.9792,0.9662,1.0193,1.0148,0.9934,0.9967,0.9113,0.9552,0.9973,0.9411,1.0139,0.9434,0.9709,0.9833,0.9971,1.0028,0.936,0.9853,0.953,0.9507
1.01,1.0329,0.9274,0.9225,0.9753,0.9056,0.9374,1.0044,0.9714,0.9439,1.0077,0.9681,0.968,0.9726,0.9696,0.9952,0.9358,0.9524,0.885,0.892,1.0153,0.9593,0.9803,0.8965,0.9563,0.9595,0.9899,0.9755,0.9622,0.9481,0.9584,1.009,0.9694,1.0141,1.0012,0.9559,1.0377,0.9779,0.9242,0.9034,0.9251,0.9279,1.0572,0.9301,1.0533,0.9183,0.9744,0.9232,0.9599,0.9626,1.0015,0.95,0.9685,0.9493,0.9419,0.965,1.0424,0.9838,0.9698,0.911,0.9819,0.9386,0.9502,0.9043,0.947,0.9886,0.9515,1.0532,0.9574,0.9997,0.9346,0.9392,0.9862,0.9574,0.928,0.9828,0.9665,0.9846,0.9783,0.991,0.9768,0.9554,0.997,0.9968,0.9758,0.997,0.9217,0.95,0.9892,0.9592,1.0049,0.9283,0.9763,0.9996,0.9778,0.9989,0.951,0.991,0.9502,0.9443
1.01,0.9454,0.9569,0.93,1.003,0.9417,0.9683,1.0369,1.0088,0.975,1.035,0.996,0.9743,1.0186,0.9774,1.0775,0.9618,0.991,0.9214,0.9233,1.0354,0.9769,1.0228,0.928,0.9774,0.9966,0.9803,1.0036,0.9798,0.9508,0.9947,1.0278,1.0019,1.0118,1.0095,0.9749,1.0416,0.9759,0.9862,0.9138,0.9562,0.9667,1.064,0.9523,1.1029,0.93,1,0.9453,0.9749,0.97,1.0178,0.9603,0.9765,0.9535,0.966,0.9833,1.0414,0.9825,0.9687,0.9732,0.9932,0.9581,0.9635,0.937,0.9638,0.9935,0.9696,0.9954,0.9759,1.0368,0.9671,0.9553,1.0118,0.9829,0.9648,0.9995,0.9961,0.9962,0.9801,0.9832,0.9919,0.9838,1.0034,0.9995,0.9798,1.0121,0.9412,0.9645,1.0156,0.9698,1.0283,0.9558,0.9941,1.0095,1.0093,1.0072,0.9473,1.0086,0.9636,0.9706
1.01,0.9165,0.9409,0.906,0.9801,0.9265,0.9583,1.0123,0.9664,0.9477,1.0056,0.982,0.9269,0.9945,0.9819,1.0269,0.9428,0.9636,0.9019,0.8912,1.0071,0.9548,1.0047,0.9032,0.9633,0.9656,0.9663,0.9873,0.9702,0.9553,0.9581,1.0489,0.9872,0.9856,0.9574,0.9489,1.0482,0.9377,0.9271,0.8953,0.924,0.9515,1.0378,0.9376,1.0648,0.9083,0.963,0.9281,0.9563,0.9466,1.004,0.9488,0.9309,0.9386,0.9616,0.9549,1.0279,0.9732,0.9434,0.9456,0.9782,0.9318,0.9487,0.9115,0.9478,0.9849,0.9502,0.9851,0.9645,1.0248,0.9548,0.942,0.9894,0.9677,0.9514,0.9739,0.9714,0.9674,0.9634,0.969,0.9725,0.9483,0.9823,0.9949,0.9641,0.995,0.9219,0.954,0.9853,0.9627,1.0185,0.9445,0.9724,1.0057,0.9752,1.0131,0.9417,1,0.9504,0.9596
1.01,0.8967,0.964,0.9241,0.9584,0.9382,0.9705,1.0201,1.018,0.9649,0.9967,0.9815,0.8998,0.9875,0.992,1.0727,0.9534,0.9766,0.9264,0.8785,1.0152,0.9543,1.0021,0.9212,0.9658,0.9698,0.965,0.9947,0.9771,0.9656,0.9858,1.0526,1.0077,0.9885,0.9366,0.9541,1.083,0.9202,1.0604,0.8854,0.9384,0.9819,1.0513,0.9326,1.0837,0.9356,0.9885,0.9278,0.9764,0.949,1.0199,0.9447,0.9277,0.9441,0.9413,0.9601,0.9974,0.9685,0.9665,0.9687,0.9826,0.9225,0.961,0.9164,0.925,0.958,0.9491,1.0189,0.9321,1.0029,0.9802,0.9542,1.0175,0.9735,0.9655,0.9782,0.9882,0.9586,0.9519,0.9833,1.0081,0.9439,0.9991,1.0081,0.9731,0.9868,0.9205,0.9733,0.9873,0.9727,1.0358,0.9479,0.9667,1.0053,0.9871,0.9868,0.9625,0.9924,0.9626,0.9514
